index,repo_url,slug,found_in_db,run_count,overall_result,any_success,best_status,total_iterations,total_steps,total_prompt_tokens,total_completion_tokens,detected_language,has_dockerfile,smoke_test_passed,total_duration_ms,char_domain,char_build_type,char_automation_level,char_environment_specificity,char_dependency_transparency,char_tooling_complexity,char_reproducibility_support,star_count
1,https://github.com/basecamp/local_time,basecamp/local_time,True,1,SUCCESS,True,success,2,42,840018,48648,ruby,True,True,1498393,web-development,bundler,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,no_ci_manual_only,1990
2,https://github.com/spring-projects/spring-framework,spring-projects/spring-framework,True,3,SUCCESS,True,success,6,112,1826057,169408,Java,True,True,5444071,web-development,gradle,fully_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,59604
3,https://github.com/open-webui/open-webui,open-webui/open-webui,True,1,SUCCESS,True,success,1,19,428582,56326,Python,True,True,1471717,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready,123592
4,https://github.com/drewm/mailchimp-api,drewm/mailchimp-api,True,1,SUCCESS,True,success,3,48,455216,114061,PHP,True,True,2017770,web-development,composer,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready,1977
5,https://github.com/umami-software/umami,umami-software/umami,True,1,SUCCESS,True,success,3,53,3065847,87603,TypeScript/JavaScript,True,True,2178410,web-development,pnpm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,35163
6,https://github.com/CorentinTh/it-tools,CorentinTh/it-tools,True,1,SUCCESS,True,success,1,7,165489,12110,JavaScript,True,True,280820,web-development,npm,fully_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,no_ci_manual_only,36992
7,https://github.com/photoprism/photoprism,photoprism/photoprism,True,1,SUCCESS,True,success,1,13,279279,33165,go,True,True,1238194,web-development,go-mod,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready,39239
8,https://github.com/psf/requests,psf/requests,True,1,SUCCESS,True,success,2,36,264579,43406,Python,True,True,1677554,web-development,setuptools,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready,53729
9,https://github.com/benvinegar/counterscale,benvinegar/counterscale,True,1,SUCCESS,True,success,2,34,1646100,49293,TypeScript,True,True,1423709,web-development,pnpm,semi_automated,specific_os,explicit_machine_readable,multi_layer_toolchains,repro_ready,1977
10,https://github.com/resume/resume.github.com,resume/resume.github.com,True,1,SUCCESS,True,success,1,6,34389,9855,Ruby,True,True,265171,web-development,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only,62791
11,https://github.com/weareoutman/clockpicker,weareoutman/clockpicker,True,1,SUCCESS,True,success,1,15,258842,28644,JavaScript,True,True,637409,web-development,npm,semi_automated,cross_platform_generic,explicit_loose,multi_layer_toolchains,repro_ready,1985
12,https://github.com/microsoft/FluidFramework,microsoft/FluidFramework,True,1,FAIL,False,failure,3,57,1192076,81240,JavaScript,False,,2398005,web-development,pnpm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,4918
13,https://github.com/hakimel/reveal.js,hakimel/reveal.js,True,1,FAIL,False,failure,3,75,1082768,83066,typescript,False,,1297637,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready,70548
14,https://github.com/rangle/augury,rangle/augury,True,1,SUCCESS,True,success,1,13,143666,26587,typescript,True,True,1138875,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,1999
15,https://github.com/scrapinghub/portia,scrapinghub/portia,True,1,FAIL,False,failure,3,72,1046748,135632,Python,False,,4908522,web-development,setuptools,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,no_ci_manual_only,9491
16,https://github.com/fastapi/fastapi,fastapi/fastapi,True,1,SUCCESS,True,success,1,3,65910,9175,Python,True,True,216440,web-development,poetry,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,95012
17,https://github.com/ant-design/ant-design,ant-design/ant-design,True,1,SUCCESS,True,success,1,12,224232,24223,JavaScript,True,True,1394094,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,97485
18,https://github.com/expressjs/express,expressjs/express,True,3,SUCCESS,True,success,4,68,598739,118041,JavaScript,True,True,3549454,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,68685
19,https://github.com/evanw/esbuild,evanw/esbuild,True,1,SUCCESS,True,success,1,5,94039,7939,Go,True,True,211077,web-development,go-mod,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready,39698
20,https://github.com/freeCodeCamp/devdocs,freeCodeCamp/devdocs,True,1,SUCCESS,True,success,1,17,192699,35051,ruby,True,True,1063611,web-development,bundler,fully_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,38476
21,https://github.com/hustcc/echarts-for-react,hustcc/echarts-for-react,True,1,SUCCESS,True,success,1,7,45521,12519,TypeScript,True,True,335247,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,4946
22,https://github.com/christinecha/choreographer-js,christinecha/choreographer-js,True,1,SUCCESS,True,success,1,5,38445,10094,JavaScript,True,True,193897,web-development,npm,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,no_ci_manual_only,1998
23,https://github.com/facebook/create-react-app,facebook/create-react-app,True,1,SUCCESS,True,success,1,16,230830,24563,JavaScript,True,True,1335795,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,103943
24,https://github.com/facebook/memlab,facebook/memlab,True,1,SUCCESS,True,success,1,17,257270,34891,typescript,True,True,897886,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,4898
25,https://github.com/styled-components/styled-components,styled-components/styled-components,True,1,SUCCESS,True,success,2,21,397222,35807,JavaScript,True,True,1444679,web-development,pnpm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,41029
26,https://github.com/glennreyes/graphpack,glennreyes/graphpack,True,1,FAIL,False,failure,3,75,660984,101704,JavaScript,False,,2772725,web-development,yarn,fully_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,no_ci_manual_only,1979
27,https://github.com/StartBootstrap/startbootstrap-simple-sidebar,StartBootstrap/startbootstrap-simple-sidebar,True,1,SUCCESS,True,success,2,13,150047,17593,JavaScript,True,True,677609,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,no_ci_manual_only,1989
28,https://github.com/chrisbenincasa/tunarr,chrisbenincasa/tunarr,True,1,SUCCESS,True,success,1,12,203055,29546,TypeScript/Node.js,True,True,1124901,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready,1981
29,https://github.com/peachananr/onepage-scroll,peachananr/onepage-scroll,True,1,SUCCESS,True,success,1,13,204333,20397,JavaScript,True,True,367021,web-development,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only,9490
30,https://github.com/HeyPuter/puter,HeyPuter/puter,True,1,SUCCESS,True,success,2,22,305624,43708,javascript,True,True,6303931,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,no_ci_manual_only,39372
31,https://github.com/josephg/ShareJS,josephg/ShareJS,True,2,SUCCESS,True,success,4,43,391210,92561,JavaScript,True,True,2104856,web-development,npm,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready,4992
